2025-12-01 16:34:10.734 [main] INFO  c.ling.TliasWebManagementApplication - Starting TliasWebManagementApplication using Java 23.0.2 with PID 31540 (D:\java_Project\web-ai-project01\tlias-web-management\target\classes started by Lenovo in D:\java_Project\web-ai-project01)
2025-12-01 16:34:10.736 [main] INFO  c.ling.TliasWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-01 16:34:11.618 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-01 16:34:11.628 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-01 16:34:11.630 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-01 16:34:11.630 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.49]
2025-12-01 16:34:11.668 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-01 16:34:11.668 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 895 ms
2025-12-01 16:34:11.962 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-12-01 16:34:12.238 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-01 16:34:12.253 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-12-01 16:34:12.259 [main] INFO  c.ling.TliasWebManagementApplication - Started TliasWebManagementApplication in 1.819 seconds (process running for 3.078)
2025-12-01 16:34:36.816 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-01 16:34:36.824 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-12-01 16:34:41.931 [main] INFO  c.ling.TliasWebManagementApplication - Starting TliasWebManagementApplication using Java 23.0.2 with PID 35500 (D:\java_Project\web-ai-project01\tlias-web-management\target\classes started by Lenovo in D:\java_Project\web-ai-project01)
2025-12-01 16:34:41.932 [main] INFO  c.ling.TliasWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-01 16:34:42.855 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-01 16:34:42.862 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-01 16:34:42.863 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-01 16:34:42.863 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.49]
2025-12-01 16:34:42.899 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-01 16:34:42.900 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 937 ms
2025-12-01 16:34:43.206 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-12-01 16:34:43.548 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-12-01 16:34:43.580 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-01 16:34:43.593 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-12-01 16:34:43.602 [main] INFO  c.ling.TliasWebManagementApplication - Started TliasWebManagementApplication in 1.915 seconds (process running for 2.56)
2025-12-01 16:34:43.788 [RMI TCP Connection(1)-26.233.6.99] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-01 16:34:43.788 [RMI TCP Connection(1)-26.233.6.99] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-01 16:34:43.790 [RMI TCP Connection(1)-26.233.6.99] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-12-01 16:34:43.793 [RMI TCP Connection(2)-26.233.6.99] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-01 16:34:44.049 [RMI TCP Connection(2)-26.233.6.99] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7613a13b
2025-12-01 16:34:44.051 [RMI TCP Connection(2)-26.233.6.99] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-01 16:36:19.197 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-01 16:36:19.203 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-12-01 16:36:19.206 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-01 16:36:19.211 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
